V1;V2;V3;V4
1702;117.699267984383;107.005770836227;128.392765132538
1703;115.189309470089;104.495812321933;125.882806618245
1704;113.396481959879;102.702984811724;124.089979108035
1705;118.057833486425;107.364336338269;128.751330634580
1706;112.320785453753;101.627288305598;123.014282601909
1707;118.057833486425;107.364336338269;128.751330634580
1708;118.057833486425;107.364336338269;128.751330634580
1709;118.057833486425;107.364336338269;128.751330634580
1710;119.175793383617;111.570343218399;126.781243548835
1711;112.763877737928;102.253022501311;123.274732974545
1712;119.355076134638;111.749625969420;126.960526299856
1713;118.458662379533;110.853212214315;126.064112544751
1714;117.425229264474;106.914374027857;127.936084501091
1715;114.514441857072;106.908991691854;122.119892022290
1716;117.203683122386;109.598232957168;124.809133287604
1717;118.637945130554;111.032494965336;126.243395295772
1718;113.797310852988;106.191860687770;121.402761018206
1719;118.458662379533;110.853212214315;126.064112544751
1720;116.307269367281;108.701819202063;123.912719532499
1721;118.763978245298;112.410290363838;125.117666126758
1722;110.912786860179;104.559098978718;117.266474741639
1723;111.415913553603;105.062225672143;117.769601435063
1724;117.586645160421;111.232957278961;123.940333041881
1725;118.324749544464;112.700128725638;123.94937036329
1726;121.558245855062;115.933625036236;127.182866673889
1727;114.544925083461;108.920304264635;120.169545902287
1728;111.381353300822;105.756732481996;117.005974119648
1729;124.017577745227;118.392956926401;129.642198564053
1730;119.379449897376;113.754829078550;125.004070716202
1731;125.778365841228;120.153745022402;131.402986660054
1732;113.487132293419;107.133444411959;119.840820174880
1733;114.829410086828;109.204789268002;120.454030905654
1734;110.771535349873;105.146914531047;116.396156168699
1735;117.135687573384;111.511066754557;122.760308392210
1736;112.195034827140;106.570414008314;117.819655645967
1737;117.980453964052;112.355833145226;123.605074782878
1738;114.434427642255;108.809806823429;120.059048461081
1739;114.873007359114;107.267557193896;122.478457524332
1740;118.458662379533;110.853212214315;126.064112544751
1741;114.693724608093;107.088274442875;122.299174773310
1742;121.327186395869;113.721736230651;128.932636561087
1743;117.741531375449;110.136081210231;125.346981540667
1744;118.817227881575;111.211777716357;126.422678046793
1745;116.307269367281;108.701819202063;123.912719532499
1746;118.100096877491;110.494646712273;125.705547042709
1747;117.425229264474;106.914374027857;127.936084501091
1748;122.034606273827;114.383946376683;129.685266170971
1749;117.957575269515;110.306915372371;125.608235166659
1750;113.125596598921;105.474936701777;120.776256496065
1751;123.472939460819;115.822279563675;131.123599357963
1752;120.607877687272;112.957217790128;128.258537584417
1753;116.318940633925;108.668280736781;123.969600531069
1754;122.310529530140;114.659869632996;129.961189427285
1755;112.213357510423;104.562697613278;119.864017407567
1756;115.450565748686;107.799905851542;123.101225645831
1757;113.576324193372;105.925664296228;121.226984090516
1758;111.405281097873;103.754621200729;119.055940995017
1759;114.429729110223;106.779069213079;122.080389007367
1760;109.590121331303;101.939461434159;117.240781228448
1761;118.50616269518;110.855502798036;126.156822592324
1762;114.817861713422;107.167201816278;122.468521610566
1763;114.91527075018;104.404415513563;125.426125986797
1764;125.303422828139;117.652762930995;132.954082725283
1765;115.990967256306;105.480112019689;126.501822492923
1766;120.121108972964;112.489458524643;127.752759421286
1767;124.086791801741;116.455141353420;131.718442250063
1768;113.254708668378;105.623058220057;120.886359116699
1769;120.859702283364;113.228051835043;128.491352731685
1770;128.147063799755;121.799756744424;134.494370855086
1771;123.575771431573;115.944120983252;131.207421879894
1772;119.988876288231;113.6415692329;126.336183343562
1773;114.547246961577;106.915596513256;122.178897409898
1774;110.951465103448;104.650550609389;117.252379597507
1775;120.406519045485;114.105604551426;126.707433539544
1776;114.351732221629;108.050817727570;120.652646715687
1777;116.387180450919;110.086265956860;122.688094944978
1778;115.166922753411;108.866008259352;121.467837247470
1779;108.501534871918;102.956445355564;114.046624388272
1780;119.667532901849;114.145702366398;125.189363437301
1781;109.295497161155;103.773666625703;114.817327696606
1782;123.926284951763;118.404454416312;129.448115487215
1783;112.924076794205;107.402246258754;118.445907329657
