39,1.1193,0.25303
81,1.018,0.8309
88,0.85933,0.096666
91,0.945,0.092764
100,0.92,0.10076
105,1.0337,0.14885
110,1.47,0.21893
122,2.663,0.55163
139,3.5303,0.53182
149,4.1103,0.56899
177,4.7173,0.44931
194,4.098,0.44627
198,4.3493,0.44116
226,3.8443,0.45243
237,3.956,0.44293
243,4.2937,0.36999
248,4.3543,0.36554
255,4.086,0.40903
262,3.6253,0.43109
268,3.941,0.4117
276,3.773,0.45323
281,3.748,0.39751
288,3.1513,0.44584
290,2.9587,0.48571
294,2.472,0.46987
299,1.618,0.48412
311,0.83867,0.25585
317,0.97333,0.095893
