"fl_Salix_cinerea" "fl_Corilus_avellana" "fl_Prunus_dulcis" "fl_Acacia" "fl_Alnus_glutinosa" "fl_Prunus_domestica" "lu_Prunus_dulcis" "lu_Sambucus_nigra" "fl_Crataegus_monogyna" "fl_Brassica_oleracea" "fl_Acer" "lu_Cydonia_oblonga" "lu_Corilus_avellana" "fl_Prunus_persica" "fl_Ulmus_minor" "fl_Pyrus_communis" "fl_Populus_alba" "lu_Salix" "fl_Brassica_napus" "lu_Prunus_armeniaca" "lu_Alnus_glutinosa" "fl_Laurus_nobilis" "fl_Vicia_faba" "lu_Pyrus_communis" "lu_Acer" "fl_Prunus_avium" "lu_Crataegus_monogyna" "lu_Populus_alba" "lu_Morus_alba" "lu_Aesculus_hippocastanum" "lu_Prunus_persica" "fl_Cydonia_oblonga" "lu_Robinia_pseudoacacia" "fl_Pisum_sativum" "lu_Malus_domestica" "fl_Celtis_australis" "lu_Juglans_regia" "lu_Sorbus_domestica" "lu_Platanus_hybrida" "lu_Prunus_avium" "fl_Platanus_hybrida" "lu_Ficus_carica" "lu_Ulmus_minor" "fl_Salix" "lu_Vitis_vinifera" "fl_Malus_domestica" "fl_Papaver_roheas" "fl_Prunus_spinosa" "fl_Thymus_vulgaris" "fl_Morus_alba" "lu_Fraxinus" "fl_Sorbus_domestica" "lu_Punica_granatum" "lu_Tilia" "fl_Onobrychis" "fl_Juglans__regia" "fl_Fraxinus" "fl_Quercus" "fl_Sambucus_nigra" "fl_Spartium_junceum" "fl_Robinia_pseudoacacia" "fl_Avena_sativa" "fl_Quercus_ilex" "fl_Hordeum_vulgare" "fl_Triticum_aestivum" "fl_Secale_cereale" "fl_Genista_scorpius" "fl_Pinus_pinea" "fl_Quercus_suber" "fl_Solanum_tuberosum" "fl_Rubus" "fl_Cicer_arietinum" "fr_Morus_alba" "fl_Olea_europea" "fl_Vitis_vinifera" "fl_Punica_granatum" "fl_Castanea_sativa" "fr_Prunus_avium" "fl_Tilia_" "fr_Pisum_sativum" "fr_Vicia_faba" "fr_Avena_sativa" "fr_Prunus_armeniaca" "fr_Hordeum_vulgare" "fr_Triticum_aestivum" "fl_Satureja_fruticos" "fl_Helianthus_annuus" "fr_Solanum_tuberosum" "fl_Zea_mays" "fr_frprunaj" "fl_Lippia_triphylla" "fl_Lavandula" "fr_Solanum_lycopersicum" "fr_Prunus_domestica" "fr_Cicer_arietinum" "fr_Pyrus_communis" "fl_Asparagus_acutifoius" "fr_Corilus_avellana" "fr_Prunus_persica" "fr_Prunus_dulcis" "fr_Zea_mays" "fr_Ficus_carica" "fr_Juglans__regia" "fr_Vitis_vinifera" "fr_Punica_granatum" "fr_Malus_domestica" "fr_Cydonia_oblonga" "fr_Arbutus_unedo" "fr_Castanea_sativa" "fr_Diospyros_kaki" "lf_Acer" "lf_Prunus_dulcis" "lf_Pyrus_communis" "lf_Juglans_regia" "lf_Vitis_vinifera" "lf_Diospyros_kaki" "lf_Populus_alba" "lf_Castanea_sativa" "lf_Ficus_carica" "lf_Prunus.domestica" "lf_Populus_alba.1" "lf_Punica_granatum" "lf_Populus_nigra" "lf_Robinia_pseudoacacia" "lf_Aesculus_hippocastanum" "lf_Prunus_armeniaca" "lf_Sambucus_nigra" "lf_Prunus_domestica" "lf_Fraxinus" "lf_Prunus_avium" "lf_Ulmus_minor" "lf_Celtis_australis" "lf_Platanus_hybrida" "lf_Morus_alba" "lf_Corilus_avellana" "lf_Sorbus_domestica" "lf_Prunus_persica" "lf_Cydonia_oblonga" "lf_Alnus_glutinosa" "lf_Tilia_" "lf_Salix" "lf_Malus_domestica" "lf_Salix_cinerea" "lf_Quercus_robur" "lf_Salix_pendula"
"mean" 65 68 77 77 80 82 83 85 87 88 89 91 92 94 97 99 101 101 101 101 103 103 104 107 108 108 29 34 38 47 49 60 72 74 76 77 77 79 79 80 83 83 87 96 98 99 102 103 104 104 105 106 106 107 112 112 118 120 121 123 123 129 130 132 133 134 134 139 139 145 146 151 155 157 161 162 164 182 191 192 195 197 224 154 163 166 170 178 179 180 181 191 193 201 205 207 211 236 239 250 257 262 266 271 282 283 286 292 297 298 306 316 320 321 321 322 323 324 324 324 324 325 325 327 328 328 329 329 329 329 330 330 331 331 331 331 332 340 340 341 343 343 349 357 358
"sd" 10.1758350540690 12.4624962914263 13.2590512113194 13.5273796427837 27.1595967841754 10.8218228312479 11.3043906209856 14.6303494981077 13.0688266791335 9.39842169357868 9.14447212798089 13.1430677501509 9.0853923877128 8.94947055729075 14.6531697804736 9.90081473436309 14.9255648728109 14.5337802801188 12.0508183216835 9.7526386231604 10.5295676488541 8.56348838577675 11.7858093922438 10.4633398817720 8.72983390449097 9.17906778557943 11.8117448337371 11.0118118400198 14.1747875883416 8.43587702399823 10.2425582741813 11.0116346452730 13.4608263547914 15.1731228135140 13.3324935632981 11.3437137612527 11.8780030527753 14.0894722226643 9.38940464248026 7.68457100812709 11.195343419731 13.2618568568146 12.4955992253273 28.9789880091032 11.7299868965226 13.0226823161181 11.8137364036994 13.7110209270375 9.75295443033136 16.1157293930795 12.4551368833349 12.1685820966907 12.2658149525507 10.2352332655392 16.7631395926553 12.953716859952 19.2442143239530 12.0430637553483 10.6448582954439 12.5478133173720 11.5914482880400 6.42715818767035 11.3261817055254 7.23801691686949 7.73636449866562 10.3553528830906 9.30309728249786 9.13581163264612 9.6263194233843 6.02515734304121 14.7091908043117 8.55629713565601 10.0439802101328 10.7343026101025 10.4815457797200 9.8301184751701 19.2649458379238 8.81225683042342 11.2324675737896 7.84447337194352 5.70566874874851 12.0817509305420 9.37321411561386 12.5524354753823 11.8944006859012 7.21950220730018 12.9475866477116 8.75310417963956 21.5767924171897 11.2522399203806 28.2404640458299 31.993612953858 7.87355509761777 16.2454727421329 7.85019807113792 15.0044527803871 15.0055545271298 11.5317166026953 15.4235916532817 10.7028622575553 23.0815804980675 8.99812859624772 4.86806178593535 7.7765281613264 9.23382326360496 9.17972904393462 9.12185260272656 12.2323696686217 6.73424086293325 10.6648317550553 9.97557915547661 10.9257294713914 14.1495496782605 10.2163586340651 9.45289071433405 7.06171038935954 10.4747695784107 12.9723324909752 9.2628728269436 6.70820393249937 8.80992301837783 9.16221337047735 6.32513659466548 9.98150729123002 5.96337482667887 12.6733852401830 7.22885954050916 10.4277926321938 11.0180561341649 8.30826659685202 10.3987110926791 8.7354274255867 8.35390955649202 9.14116926928695 8.18299117302561 9.19643186101865 8.47230234852281 18.1358537594349 9.10794728974387 11.5701993152721 11.5967875723270 9.34498194608154 11.8293420498916 11.1700148061330 5.52655924991827
"numberObs" 21 37 41 25 35 43 31 30 40 37 42 30 32 43 40 42 28 27 28 27 27 27 33 27 25 44 22 25 28 28 25 41 26 31 26 23 23 28 30 19 36 29 25 28 28 43 30 23 37 32 23 41 22 25 27 41 31 26 42 21 39 42 43 37 42 21 21 29 40 35 17 42 26 45 46 43 37 39 43 39 39 38 35 45 45 33 25 43 24 31 22 28 34 26 41 39 25 41 40 35 34 42 42 41 36 38 43 38 41 33 40 44 41 42 42 24 27 40 42 12 40 40 17 41 44 44 39 34 41 42 44 39 41 41 35 40 42 43 42 41 42 42 16 13 15
