DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
8/28/1998,VACO-01,-99,-99,0,0
8/28/1998,PIST-01,-99,-99,0,0
8/28/1998,AMSP-01,-99,-99,0,0
8/28/1998,FRAM-01,-99,-99,0,0
8/28/1998,PRSE-01,-99,-99,8,0
8/28/1998,ILVE-01,-99,-99,0,0
8/28/1998,VICA-01,-99,-99,0,0
8/28/1998,ACRU-01,-99,-99,0,0
8/28/1998,SAPU-01,-99,-99,0,0
8/28/1998,AMSP-02,-99,-99,2,0
8/28/1998,ACSA-01,-99,-99,0,0
8/28/1998,BELE-01,-99,-99,0,0
8/28/1998,SAPU-03,-99,-99,0,0
8/28/1998,BEAL-01,-99,-99,1,0
8/28/1998,COAL-04,-99,-99,0,0
8/28/1998,QURU-01,-99,-99,0,0
8/28/1998,VICA-02,-99,-99,0,0
8/28/1998,ILVE-03,-99,-99,0,0
8/28/1998,QUAL-04,-99,-99,0,0
8/28/1998,FAGR-01,-99,-99,0,0
8/28/1998,VIAL-01,-99,-99,0,0
8/28/1998,ACPE-01,-99,-99,0,0
8/28/1998,TSCA-01,-99,-99,0,0
8/28/1998,QUVE-01,-99,-99,0,0
8/28/1998,VACO-02,-99,-99,5,1
8/28/1998,LYLI-02,-99,-99,0,0
8/28/1998,LYLI-01,-99,-99,10,0
8/28/1998,BEPO-01,-99,-99,0,0
8/28/1998,LYLI-03,-99,-99,1,0
8/28/1998,KAAN-01,-99,-99,0,0
8/28/1998,PIST-02,-99,-99,0,0
8/28/1998,BEPA-01,-99,-99,0,0
8/28/1998,CRSP-01,-99,-99,3,0
8/28/1998,ACRU-02,-99,-99,8,2
8/28/1998,RHSP-01,-99,-99,3,0
8/28/1998,ACPE-02,-99,-99,0,0
8/28/1998,CADE-01,-99,-99,0,0
8/28/1998,NYSY-04,-99,-99,0,0
8/28/1998,KALA-01,-99,-99,15,5
8/28/1998,FAGR-02,-99,-99,0,0
8/28/1998,ACPE-03,-99,-99,0,0
8/28/1998,HAVI-01,-99,-99,1,0
8/28/1998,BEAL-02,-99,-99,0,0
8/28/1998,BELE-02,-99,-99,0,0
8/28/1998,VICA-03,-99,-99,10,0
8/28/1998,VIAL-02,-99,-99,0,0
8/28/1998,FAGR-03,-99,-99,0,0
8/28/1998,TSCA-04,-99,-99,0,0
8/28/1998,KALA-02,-99,-99,3,1
8/28/1998,VACO-03,-99,-99,0,0
8/28/1998,KAAN-02,-99,-99,0,0
8/28/1998,NEMU-01,-99,-99,2,0
8/28/1998,ILVE-04,-99,-99,0,0
8/28/1998,NEMU-02,-99,-99,1,0
8/28/1998,RHSP-02,-99,-99,3,1
8/28/1998,AMSP-03,-99,-99,0,0
8/28/1998,NYSY-02,-99,-99,0,0
8/28/1998,BEPO-02,-99,-99,0,0
8/28/1998,BEAL-03,-99,-99,0,0
8/28/1998,NYSY-03,-99,-99,2,0
8/28/1998,HAVI-02,-99,-99,0,0
8/28/1998,QURU-02,-99,-99,0,0
8/28/1998,ARSP-01,-99,-99,2,0
8/28/1998,ACRU-03,-99,-99,0,0
8/28/1998,VIAL-03,-99,-99,1,0
8/28/1998,KAAN-03,-99,-99,0,0
8/28/1998,VACO-04,-99,-99,1,0
8/28/1998,ACPE-04,-99,-99,0,0
8/28/1998,CADE-03,-99,-99,0,0
8/28/1998,QUVE-02,-99,-99,0,0
8/28/1998,BEPO-03,-99,-99,0,0
8/28/1998,PIST-03,-99,-99,0,0
8/28/1998,KALA-03,-99,-99,30,1
8/28/1998,BEPO-04,-99,-99,0,0
8/28/1998,ACRU-04,-99,-99,2,0
8/28/1998,QUAL-02,-99,-99,5,0
8/28/1998,RHSP-03,-99,-99,0,0
8/28/1998,NEMU-03,-99,-99,2,0
8/28/1998,ARSP-02,-99,-99,0,0
8/28/1998,CRSP-03,-99,-99,0,0
8/28/1998,BELE-03,-99,-99,0,0
8/28/1998,HAVI-03,-99,-99,0,0
8/28/1998,QUVE-03,-99,-99,0,0
8/28/1998,TSCA-05,-99,-99,0,0
8/28/1998,QUVE-04,-99,-99,0,0
8/28/1998,QURU-03,-99,-99,0,0
8/28/1998,CRSP-02,-99,-99,1,0
8/28/1998,PRSE-02,-99,-99,10,0
8/28/1998,BEPA-02,-99,-99,0,0
8/28/1998,BEPA-03,-99,-99,0,0
8/28/1998,BEPA-04,-99,-99,3,1
8/28/1998,COAL-03,-99,-99,0,0
8/28/1998,FRAM-02,-99,-99,0,0
8/28/1998,FAGR-04,-99,-99,0,0
8/28/1998,QUAL-03,-99,-99,0,0
8/28/1998,ILVE-02,-99,-99,0,0
8/28/1998,ACSA-02,-99,-99,0,0
8/28/1998,FRAM-03,-99,-99,0,0
8/28/1998,SAPU-02,-99,-99,3,0
8/28/1998,POTR-04,-99,-99,0,0
8/28/1998,ACSA-03,-99,-99,40,1
8/28/1998,PRSE-03,-99,-99,1,0
8/28/1998,QURU-04,-99,-99,0,0
8/28/1998,ACRU-05,-99,-99,0,0
8/28/1998,PIST-04,-99,-99,0,0
8/28/1998,FRAM-04,-99,-99,0,0
8/28/1998,POTR-02,-99,-99,0,0
9/4/1998,VACO-01,-99,-99,1,0
9/4/1998,PIST-01,-99,-99,0,0
9/4/1998,AMSP-01,-99,-99,0,0
9/4/1998,FRAM-01,-99,-99,0,0
9/4/1998,PRSE-01,-99,-99,15,3
9/4/1998,ILVE-01,-99,-99,0,0
9/4/1998,VICA-01,-99,-99,0,0
9/4/1998,ACRU-01,-99,-99,0,0
9/4/1998,SAPU-01,-99,-99,0,0
9/4/1998,AMSP-02,-99,-99,3,1
9/4/1998,ACSA-01,-99,-99,0,0
9/4/1998,BELE-01,-99,-99,4,0
9/4/1998,SAPU-03,-99,-99,1,0
9/4/1998,BEAL-01,-99,-99,5,1
9/4/1998,COAL-04,-99,-99,2,0
9/4/1998,QURU-01,-99,-99,3,0
9/4/1998,VICA-02,-99,-99,1,0
9/4/1998,ILVE-03,-99,-99,1,0
9/4/1998,QUAL-04,-99,-99,0,0
9/4/1998,FAGR-01,-99,-99,0,0
9/4/1998,VIAL-01,-99,-99,0,0
9/4/1998,ACPE-01,-99,-99,2,0
9/4/1998,TSCA-01,-99,-99,0,0
9/4/1998,QUVE-01,-99,-99,2,0
9/4/1998,VACO-02,-99,-99,10,1
9/4/1998,LYLI-02,-99,-99,0,0
9/4/1998,LYLI-01,-99,-99,8,1
9/4/1998,BEPO-01,-99,-99,3,0
9/4/1998,LYLI-03,-99,-99,2,0
9/4/1998,KAAN-01,-99,-99,5,0
9/4/1998,PIST-02,-99,-99,0,0
9/4/1998,BEPA-01,-99,-99,3,0
9/4/1998,CRSP-01,-99,-99,2,0
9/4/1998,ACRU-02,-99,-99,10,1
9/4/1998,RHSP-01,-99,-99,3,0
9/4/1998,ACPE-02,-99,-99,2,0
9/4/1998,CADE-01,-99,-99,1,0
9/4/1998,NYSY-04,-99,-99,1,0
9/4/1998,KALA-01,-99,-99,10,10
9/4/1998,FAGR-02,-99,-99,10,0
9/4/1998,ACPE-03,-99,-99,0,0
9/4/1998,HAVI-01,-99,-99,1,0
9/4/1998,BEAL-02,-99,-99,2,0
9/4/1998,BELE-02,-99,-99,1,0
9/4/1998,VICA-03,-99,-99,5,0
9/4/1998,VIAL-02,-99,-99,0,0
9/4/1998,FAGR-03,-99,-99,10,0
9/4/1998,TSCA-04,-99,-99,0,0
9/4/1998,KALA-02,-99,-99,45,30
9/4/1998,VACO-03,-99,-99,2,0
9/4/1998,KAAN-02,-99,-99,8,0
9/4/1998,NEMU-01,-99,-99,5,0
9/4/1998,ILVE-04,-99,-99,0,0
9/4/1998,NEMU-02,-99,-99,8,1
9/4/1998,RHSP-02,-99,-99,8,0
9/4/1998,AMSP-03,-99,-99,0,0
9/4/1998,NYSY-02,-99,-99,1,0
9/4/1998,BEPO-02,-99,-99,0,0
9/4/1998,NYSY-03,-99,-99,1,0
9/4/1998,HAVI-02,-99,-99,1,0
9/4/1998,QURU-02,-99,-99,0,0
9/4/1998,ARSP-01,-99,-99,5,0
9/4/1998,ACRU-03,-99,-99,2,0
9/4/1998,VIAL-03,-99,-99,3,0
9/4/1998,KAAN-03,-99,-99,5,0
9/4/1998,VACO-04,-99,-99,10,0
9/4/1998,ACPE-04,-99,-99,1,0
9/4/1998,CADE-03,-99,-99,0,0
9/4/1998,QUVE-02,-99,-99,0,0
9/4/1998,BEPO-03,-99,-99,3,0
9/4/1998,PIST-03,-99,-99,0,0
9/4/1998,KALA-03,-99,-99,50,20
9/4/1998,BEPO-04,-99,-99,5,0
9/4/1998,ACRU-04,-99,-99,10,0
9/4/1998,QUAL-02,-99,-99,8,0
9/4/1998,RHSP-03,-99,-99,1,0
9/4/1998,NEMU-03,-99,-99,10,1
9/4/1998,ARSP-02,-99,-99,1,0
9/4/1998,CRSP-03,-99,-99,0,0
9/4/1998,BELE-03,-99,-99,0,0
9/4/1998,HAVI-03,-99,-99,0,0
9/4/1998,QUVE-03,-99,-99,0,0
9/4/1998,TSCA-05,-99,-99,0,0
9/4/1998,QUVE-04,-99,-99,0,0
9/4/1998,QURU-03,-99,-99,2,0
9/4/1998,CRSP-02,-99,-99,5,0
9/4/1998,PRSE-02,-99,-99,15,1
9/4/1998,BEPA-02,-99,-99,1,0
9/4/1998,BEPA-03,-99,-99,1,0
9/4/1998,BEPA-04,-99,-99,15,5
9/4/1998,COAL-03,-99,-99,1,0
9/4/1998,FRAM-02,-99,-99,0,0
9/4/1998,FAGR-04,-99,-99,0,0
9/4/1998,QUAL-03,-99,-99,0,0
9/4/1998,ILVE-02,-99,-99,0,0
9/4/1998,ACSA-02,-99,-99,0,0
9/4/1998,FRAM-03,-99,-99,0,0
9/4/1998,SAPU-02,-99,-99,8,0
9/4/1998,POTR-04,-99,-99,0,0
9/4/1998,ACSA-03,-99,-99,10,3
9/4/1998,PRSE-03,-99,-99,2,1
9/4/1998,QURU-04,-99,-99,2,0
9/4/1998,ACRU-05,-99,-99,2,0
9/4/1998,PIST-04,-99,-99,0,0
9/4/1998,FRAM-04,-99,-99,0,0
9/4/1998,POTR-02,-99,-99,5,0
9/11/1998,VACO-01,-99,-99,0,0
9/11/1998,PIST-01,-99,-99,0,0
9/11/1998,AMSP-01,-99,-99,0,0
9/11/1998,FRAM-01,-99,-99,5,0
9/11/1998,PRSE-01,-99,-99,20,5
9/11/1998,ILVE-01,-99,-99,0,0
9/11/1998,VICA-01,-99,-99,5,0
9/11/1998,ACRU-01,-99,-99,3,0
9/11/1998,SAPU-01,-99,-99,15,0
9/11/1998,AMSP-02,-99,-99,15,1
9/11/1998,ACSA-01,-99,-99,0,0
9/11/1998,BELE-01,-99,-99,8,0
9/11/1998,SAPU-03,-99,-99,15,0
9/11/1998,BEAL-01,-99,-99,15,1
9/11/1998,COAL-04,-99,-99,7,0
9/11/1998,QURU-01,-99,-99,7,0
9/11/1998,VICA-02,-99,-99,3,0
9/11/1998,ILVE-03,-99,-99,3,0
9/11/1998,QUAL-04,-99,-99,2,0
9/11/1998,FAGR-01,-99,-99,0,0
9/11/1998,VIAL-01,-99,-99,0,0
9/11/1998,ACPE-01,-99,-99,5,0
9/11/1998,TSCA-01,-99,-99,0,0
9/11/1998,QUVE-01,-99,-99,2,0
9/11/1998,VACO-02,-99,-99,10,1
9/11/1998,LYLI-02,-99,-99,2,0
9/11/1998,LYLI-01,-99,-99,20,0
9/11/1998,BEPO-01,-99,-99,20,1
9/11/1998,LYLI-03,-99,-99,7,0
9/11/1998,KAAN-01,-99,-99,15,0
9/11/1998,PIST-02,-99,-99,8,0
9/11/1998,BEPA-01,-99,-99,10,0
9/11/1998,CRSP-01,-99,-99,15,0
9/11/1998,ACRU-02,-99,-99,25,2
9/11/1998,RHSP-01,-99,-99,15,0
9/11/1998,ACPE-02,-99,-99,3,0
9/11/1998,CADE-01,-99,-99,5,0
9/11/1998,NYSY-04,-99,-99,2,0
9/11/1998,KALA-01,-99,-99,65,45
9/11/1998,FAGR-02,-99,-99,30,1
9/11/1998,ACPE-03,-99,-99,2,0
9/11/1998,HAVI-01,-99,-99,5,0
9/11/1998,BEAL-02,-99,-99,3,0
9/11/1998,BELE-02,-99,-99,2,0
9/11/1998,VICA-03,-99,-99,15,0
9/11/1998,VIAL-02,-99,-99,0,0
9/11/1998,FAGR-03,-99,-99,8,0
9/11/1998,TSCA-04,-99,-99,0,0
9/11/1998,KALA-02,-99,-99,75,70
9/11/1998,VACO-03,-99,-99,2,0
9/11/1998,KAAN-02,-99,-99,10,0
9/11/1998,NEMU-01,-99,-99,8,0
9/11/1998,ILVE-04,-99,-99,1,0
9/11/1998,NEMU-02,-99,-99,15,5
9/11/1998,RHSP-02,-99,-99,15,0
9/11/1998,AMSP-03,-99,-99,3,0
9/11/1998,NYSY-02,-99,-99,3,0
9/11/1998,BEPO-02,-99,-99,2,0
9/11/1998,BEAL-03,-99,-99,3,0
9/11/1998,NYSY-03,-99,-99,2,0
9/11/1998,HAVI-02,-99,-99,2,0
9/11/1998,QURU-02,-99,-99,2,0
9/11/1998,ARSP-01,-99,-99,3,0
9/11/1998,ACRU-03,-99,-99,7,0
9/11/1998,VIAL-03,-99,-99,3,0
9/11/1998,KAAN-03,-99,-99,15,0
9/11/1998,VACO-04,-99,-99,15,0
9/11/1998,ACPE-04,-99,-99,5,0
9/11/1998,CADE-03,-99,-99,5,0
9/11/1998,QUVE-02,-99,-99,0,0
9/11/1998,BEPO-03,-99,-99,15,0
9/11/1998,PIST-03,-99,-99,0,0
9/11/1998,KALA-03,-99,-99,75,55
9/11/1998,BEPO-04,-99,-99,25,1
9/11/1998,ACRU-04,-99,-99,25,1
9/11/1998,QUAL-02,-99,-99,20,0
9/11/1998,RHSP-03,-99,-99,20,1
9/11/1998,NEMU-03,-99,-99,15,0
9/11/1998,ARSP-02,-99,-99,5,0
9/11/1998,CRSP-03,-99,-99,10,0
9/11/1998,BELE-03,-99,-99,2,0
9/11/1998,HAVI-03,-99,-99,3,0
9/11/1998,QUVE-03,-99,-99,1,0
9/11/1998,TSCA-05,-99,-99,0,0
9/11/1998,QUVE-04,-99,-99,2,0
9/11/1998,QURU-03,-99,-99,0,0
9/11/1998,CRSP-02,-99,-99,5,0
9/11/1998,PRSE-02,-99,-99,25,1
