DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
9/21/1995,VACO-01,-99,-99,8,1
9/21/1995,PIST-01,-99,-99,80,20
9/21/1995,AMSP-01,-99,-99,8,1
9/21/1995,FRAM-01,-99,-99,85,8
9/21/1995,PRSE-01,-99,-99,10,1
9/21/1995,ILVE-01,-99,-99,0,0
9/21/1995,VICA-01,-99,-99,10,0
9/21/1995,ACRU-01,-99,-99,25,1
9/21/1995,SAPU-01,-99,-99,8,0
9/21/1995,AMSP-02,-99,-99,8,0
9/21/1995,ACSA-01,-99,-99,0,0
9/21/1995,BELE-01,-99,-99,25,3
9/21/1995,SAPU-03,-99,-99,8,0
9/21/1995,BEAL-01,-99,-99,35,15
9/21/1995,COAL-02,-99,-99,55,35
9/21/1995,QURU-01,-99,-99,8,0
9/21/1995,VICA-02,-99,-99,20,5
9/21/1995,ILVE-03,-99,-99,5,0
9/21/1995,QUAL-01,-99,-99,25,0
9/21/1995,FAGR-01,-99,-99,0,0
9/21/1995,VIAL-01,-99,-99,8,0
9/21/1995,ACPE-01,-99,-99,55,15
9/21/1995,TSCA-01,-99,-99,25,10
9/21/1995,QUVE-01,-99,-99,8,0
9/21/1995,VACO-02,-99,-99,45,15
9/21/1995,LYLI-02,-99,-99,50,5
9/21/1995,LYLI-01,-99,-99,25,55
9/21/1995,BEPO-01,-99,-99,30,20
9/21/1995,LYLI-03,-99,-99,35,5
9/21/1995,KAAN-01,-99,-99,45,3
9/21/1995,PIST-02,-99,-99,55,15
9/21/1995,BEPA-01,-99,-99,20,5
9/21/1995,CRSP-01,-99,-99,15,1
9/21/1995,ACRU-02,-99,-99,55,15
9/21/1995,RHSP-01,-99,-99,60,25
9/21/1995,ACPE-02,-99,-99,30,1
9/21/1995,CADE-01,-99,-99,20,3
9/21/1995,NYSY-04,-99,-99,8,1
9/21/1995,KALA-01,-99,-99,97,85
9/21/1995,FAGR-02,-99,-99,5,0
9/21/1995,ACPE-03,-99,-99,5,0
9/21/1995,HAVI-01,-99,-99,5,0
9/21/1995,BEAL-02,-99,-99,30,5
9/21/1995,BELE-02,-99,-99,35,5
9/21/1995,VICA-03,-99,-99,65,50
9/21/1995,VIAL-02,-99,-99,70,20
9/21/1995,FAGR-03,-99,-99,5,0
9/21/1995,TSCA-04,-99,-99,55,10
9/21/1995,CADE-02,-99,-99,5,0
9/21/1995,KALA-02,-99,-99,97,80
