DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
9/5/1996,VACO-01,-99,-99,0,0
9/5/1996,PIST-01,-99,-99,0,0
9/5/1996,AMSP-01,-99,-99,0,0
9/5/1996,FRAM-01,-99,-99,3,0
9/5/1996,PRSE-01,-99,-99,1,0
9/5/1996,ILVE-01,-99,-99,0,0
9/5/1996,VICA-01,-99,-99,0,0
9/5/1996,ACRU-01,-99,-99,2,0
9/5/1996,SAPU-01,-99,-99,3,0
9/5/1996,AMSP-02,-99,-99,3,0
9/5/1996,ACSA-01,-99,-99,0,0
9/5/1996,BELE-01,-99,-99,0,0
9/5/1996,SAPU-03,-99,-99,3,0
9/5/1996,BEAL-01,-99,-99,1,0
9/5/1996,COAL-02,-99,-99,1,0
9/5/1996,QURU-01,-99,-99,0,0
9/5/1996,VICA-02,-99,-99,0,0
9/5/1996,ILVE-03,-99,-99,0,0
9/5/1996,QUAL-01,-99,-99,0,0
9/5/1996,FAGR-01,-99,-99,0,0
9/5/1996,VIAL-01,-99,-99,0,0
9/5/1996,ACPE-01,-99,-99,0,0
9/5/1996,TSCA-01,-99,-99,0,0
9/5/1996,QUVE-01,-99,-99,0,0
9/5/1996,VACO-02,-99,-99,3,0
9/5/1996,LYLI-02,-99,-99,0,0
9/5/1996,LYLI-01,-99,-99,2,0
9/5/1996,BEPO-01,-99,-99,1,0
9/5/1996,LYLI-03,-99,-99,0,0
9/5/1996,KAAN-01,-99,-99,0,0
9/5/1996,PIST-02,-99,-99,0,0
9/5/1996,BEPA-01,-99,-99,1,0
9/5/1996,CRSP-01,-99,-99,0,0
9/5/1996,ACRU-02,-99,-99,10,1
9/5/1996,RHSP-01,-99,-99,1,0
9/5/1996,ACPE-02,-99,-99,1,0
9/5/1996,CADE-01,-99,-99,0,0
9/5/1996,NYSY-04,-99,-99,0,0
9/5/1996,KALA-01,-99,-99,8,1
9/5/1996,FAGR-02,-99,-99,15,0
9/5/1996,ACPE-03,-99,-99,0,0
9/5/1996,HAVI-01,-99,-99,1,0
9/5/1996,BEAL-02,-99,-99,1,0
9/5/1996,BELE-02,-99,-99,1,0
9/5/1996,VICA-03,-99,-99,0,0
9/5/1996,VIAL-02,-99,-99,0,0
9/5/1996,FAGR-03,-99,-99,0,0
9/5/1996,TSCA-04,-99,-99,0,0
9/5/1996,CADE-02,-99,-99,0,0
9/5/1996,KALA-02,-99,-99,15,3
9/5/1996,VACO-03,-99,-99,0,0
9/5/1996,KAAN-02,-99,-99,1,0
9/5/1996,NEMU-01,-99,-99,1,0
9/5/1996,ILVE-04,-99,-99,0,0
9/5/1996,NEMU-02,-99,-99,1,0
9/5/1996,RHSP-02,-99,-99,8,0
9/5/1996,AMSP-03,-99,-99,0,0
9/5/1996,NYSY-02,-99,-99,1,0
9/5/1996,BEPO-02,-99,-99,0,0
9/5/1996,BEAL-03,-99,-99,0,0
