DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
8/29/2001,VACO-01,-99,-99,0,0
8/29/2001,PIST-01,-99,-99,0,0
8/29/2001,AMSP-01,-99,-99,0,0
8/29/2001,FRAM-01,-99,-99,1,0
8/29/2001,PRSE-01,-99,-99,0,0
8/29/2001,ILVE-01,-99,-99,0,0
8/29/2001,VICA-01,-99,-99,0,0
8/29/2001,ACRU-01,-99,-99,0,0
8/29/2001,SAPU-01,-99,-99,1,0
8/29/2001,COAL-01,-99,-99,0,0
8/29/2001,AMSP-02,-99,-99,0,0
8/29/2001,ACSA-01,-99,-99,0,0
8/29/2001,BELE-01,-99,-99,0,0
8/29/2001,SAPU-03,-99,-99,3,0
8/29/2001,SAPU-04,-99,-99,0,0
8/29/2001,BEAL-01,-99,-99,1,0
8/29/2001,COAL-04,-99,-99,-99,-99
8/29/2001,QURU-01,-99,-99,0,0
8/29/2001,VICA-02,-99,-99,0,0
8/29/2001,ILVE-03,-99,-99,0,0
8/29/2001,QUAL-04,-99,-99,0,0
8/29/2001,FAGR-01,-99,-99,0,0
8/29/2001,VIAL-01,-99,-99,0,0
8/29/2001,ACPE-01,-99,-99,0,0
8/29/2001,TSCA-01,-99,-99,0,0
8/29/2001,QUVE-01,-99,-99,0,0
8/29/2001,VACO-02,-99,-99,0,0
8/29/2001,LYLI-02,-99,-99,0,0
8/29/2001,LYLI-01,-99,-99,0,0
8/29/2001,BEPO-01,-99,-99,0,0
8/29/2001,LYLI-03,-99,-99,0,0
8/29/2001,KAAN-01,-99,-99,0,0
8/29/2001,PIST-02,-99,-99,0,0
8/29/2001,BEPA-01,-99,-99,3,1
8/29/2001,CRSP-01,-99,-99,0,0
8/29/2001,ACRU-02,-99,-99,1,0
8/29/2001,RHSP-01,-99,-99,0,0
8/29/2001,ACPE-02,-99,-99,0,0
8/29/2001,CADE-01,-99,-99,0,0
8/29/2001,NYSY-04,-99,-99,0,0
8/29/2001,KALA-01,-99,-99,20,12
8/29/2001,FAGR-02,-99,-99,0,0
8/29/2001,ACPE-03,-99,-99,0,0
8/29/2001,HAVI-01,-99,-99,1,0
8/29/2001,BEAL-02,-99,-99,0,0
8/29/2001,BELE-02,-99,-99,0,0
8/29/2001,VICA-03,-99,-99,0,0
8/29/2001,VIAL-02,-99,-99,0,0
8/29/2001,FAGR-03,-99,-99,0,0
8/29/2001,TSCA-04,-99,-99,0,0
8/29/2001,CADE-04,-99,-99,0,0
8/29/2001,KALA-02,-99,-99,40,3
8/29/2001,VACO-03,-99,-99,0,0
8/29/2001,KAAN-02,-99,-99,5,0
8/29/2001,NEMU-01,-99,-99,2,0
8/29/2001,ILVE-04,-99,-99,0,0
8/29/2001,NEMU-02,-99,-99,0,0
8/29/2001,RHSP-02,-99,-99,3,0
