DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
9/15/1994,VACO-01,-99,-99,5,0
9/15/1994,PIST-01,-99,-99,8,0
9/15/1994,AMSP-01,-99,-99,3,0
9/15/1994,FRAM-01,-99,-99,45,0
9/15/1994,PRSE-01,-99,-99,25,0
9/15/1994,ILVE-01,-99,-99,0,0
9/15/1994,VICA-01,-99,-99,0,0
9/15/1994,ACRU-01,-99,-99,5,0
9/15/1994,SAPU-01,-99,-99,8,0
9/15/1994,AMSP-02,-99,-99,15,0
9/15/1994,ACSA-01,-99,-99,0,0
9/15/1994,BELE-01,-99,-99,20,0
9/15/1994,SAPU-03,-99,-99,20,0
9/15/1994,BEAL-01,-99,-99,8,0
9/15/1994,COAL-02,-99,-99,3,0
9/15/1994,QURU-01,-99,-99,0,0
9/15/1994,VICA-02,-99,-99,0,0
9/15/1994,QUAL-01,-99,-99,10,0
9/15/1994,FAGR-01,-99,-99,0,0
9/15/1994,VIAL-01,-99,-99,0,0
9/15/1994,ACPE-01,-99,-99,0,0
9/15/1994,TSCA-01,-99,-99,10,0
9/15/1994,QUVE-01,-99,-99,0,0
9/15/1994,VACO-02,-99,-99,10,0
9/15/1994,LYLI-02,-99,-99,0,0
9/15/1994,LYLI-01,-99,-99,45,0
9/15/1994,BEPO-01,-99,-99,15,0
9/15/1994,LYLI-03,-99,-99,8,0
9/15/1994,KAAN-01,-99,-99,0,0
9/15/1994,PIST-02,-99,-99,20,0
9/15/1994,BEPA-01,-99,-99,20,0
9/15/1994,CRSP-01,-99,-99,3,0
9/15/1994,ACRU-02,-99,-99,15,0
9/15/1994,RHSP-01,-99,-99,55,38
9/15/1994,ACPE-02,-99,-99,0,0
9/15/1994,CADE-01,-99,-99,3,0
9/15/1994,NYSY-04,-99,-99,3,0
9/15/1994,KALA-01,-99,-99,5,0
9/15/1994,FAGR-02,-99,-99,8,0
9/15/1994,ACPE-03,-99,-99,0,0
9/15/1994,HAVI-01,-99,-99,3,0
9/15/1994,BEAL-02,-99,-99,5,0
9/15/1994,BELE-02,-99,-99,3,0
9/15/1994,VICA-03,-99,-99,15,3
9/15/1994,VIAL-02,-99,-99,0,0
9/15/1994,FAGR-03,-99,-99,20,0
9/15/1994,TSCA-04,-99,-99,10,0
9/15/1994,CADE-02,-99,-99,0,0
9/15/1994,KALA-02,-99,-99,15,5
9/15/1994,VACO-03,-99,-99,3,0
9/15/1994,KAAN-02,-99,-99,3,0
9/15/1994,NEMU-01,-99,-99,3,0
9/15/1994,ILVE-04,-99,-99,0,0
9/15/1994,NEMU-02,-99,-99,0,0
9/15/1994,RHSP-02,-99,-99,15,3
9/15/1994,AMSP-03,-99,-99,20,0
9/15/1994,NYSY-02,-99,-99,20,0
9/15/1994,BEPO-02,-99,-99,3,0
9/15/1994,BEAL-03,-99,-99,8,0
9/15/1994,NYSY-03,-99,-99,50,40
9/15/1994,HAVI-02,-99,-99,3,0
9/15/1994,QURU-02,-99,-99,0,0
9/15/1994,ARSP-01,-99,-99,3,0
9/15/1994,ACRU-03,-99,-99,45,3
9/15/1994,VIAL-03,-99,-99,0,0
9/15/1994,VACO-04,-99,-99,10,0
9/15/1994,ACPE-04,-99,-99,3,0
9/15/1994,CADE-03,-99,-99,0,0
9/15/1994,QUVE-02,-99,-99,0,0
9/15/1994,BEPO-03,-99,-99,33,3
9/15/1994,PIST-03,-99,-99,10,0
9/15/1994,KALA-03,-99,-99,15,0
9/15/1994,BEPO-04,-99,-99,15,0
9/15/1994,ACRU-04,-99,-99,50,0
9/15/1994,QUAL-02,-99,-99,55,5
9/15/1994,RHSP-03,-99,-99,25,5
9/15/1994,NEMU-03,-99,-99,3,0
9/15/1994,ARSP-02,-99,-99,5,0
9/15/1994,CRSP-03,-99,-99,5,0
9/15/1994,BELE-03,-99,-99,15,0
9/15/1994,HAVI-03,-99,-99,0,0
9/15/1994,QUVE-03,-99,-99,38,5
9/15/1994,TSCA-05,-99,-99,20,3
9/15/1994,QUVE-04,-99,-99,0,0
9/15/1994,QURU-03,-99,-99,0,0
9/15/1994,CRSP-02,-99,-99,5,0
9/15/1994,PRSE-02,-99,-99,15,0
9/15/1994,BEPA-02,-99,-99,3,0
9/15/1994,BEPA-03,-99,-99,3,0
9/15/1994,BEPA-04,-99,-99,40,0
9/15/1994,COAL-03,-99,-99,5,0
9/15/1994,FRAM-02,-99,-99,33,0
9/15/1994,FAGR-04,-99,-99,0,0
9/15/1994,QUAL-03,-99,-99,5,0
9/15/1994,ILVE-02,-99,-99,3,0
9/15/1994,ACSA-02,-99,-99,0,0
9/15/1994,FRAM-03,-99,-99,3,0
9/15/1994,SAPU-02,-99,-99,0,0
9/15/1994,POTR-04,-99,-99,0,0
9/15/1994,FRAM-05,-99,-99,3,0
9/15/1994,ACSA-03,-99,-99,20,5
9/15/1994,PRSE-03,-99,-99,20,0
9/15/1994,QURU-04,-99,-99,0,0
