DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
9/12/1991,VACO-01,-99,-99,-99,0
9/12/1991,PIST-01,-99,-99,0,0
9/12/1991,AMSP-01,-99,-99,0,0
9/12/1991,FRAM-01,-99,-99,3,0
9/12/1991,PRSE-01,-99,-99,3,0
9/12/1991,ILVE-01,-99,-99,0,0
9/12/1991,VICA-01,-99,-99,0,0
9/12/1991,SAPU-01,-99,-99,1,0
9/12/1991,COAL-01,-99,-99,0,0
9/12/1991,AMSP-02,-99,-99,0,0
9/12/1991,ACSA-01,-99,-99,0,0
9/12/1991,BELE-01,-99,-99,3,0
9/12/1991,SAPU-03,-99,-99,-99,0
9/12/1991,BEAL-01,-99,-99,3,0
9/12/1991,COAL-02,-99,-99,1,0
9/12/1991,QURU-01,-99,-99,0,0
9/12/1991,VICA-02,-99,-99,0,0
9/12/1991,ILVE-03,-99,-99,0,0
9/12/1991,QUAL-01,-99,-99,0,0
9/12/1991,FAGR-01,-99,-99,0,0
9/12/1991,VIAL-01,-99,-99,0,0
9/12/1991,ACPE-01,-99,-99,0,20
9/12/1991,TSCA-01,-99,-99,0,0
9/12/1991,QUVE-01,-99,-99,0,0
9/12/1991,VACO-02,-99,-99,3,0
9/12/1991,LYLI-02,-99,-99,0,0
9/12/1991,LYLI-01,-99,-99,0,0
9/12/1991,BEPO-01,-99,-99,0,0
9/12/1991,LYLI-03,-99,-99,3,0
9/12/1991,KAAN-01,-99,-99,0,0
9/12/1991,PIST-02,-99,-99,0,0
9/12/1991,BEPA-01,-99,-99,0,0
9/12/1991,CRSP-01,-99,-99,0,0
9/12/1991,ACRU-02,-99,-99,10,0
9/12/1991,RHSP-01,-99,-99,50,0
9/12/1991,ACPE-02,-99,-99,0,0
9/12/1991,CADE-01,-99,-99,0,0
9/12/1991,NYSY-01,-99,-99,3,0
9/12/1991,KALA-01,-99,-99,50,0
9/12/1991,FAGR-02,-99,-99,0,0
9/12/1991,ACPE-03,-99,-99,0,0
9/12/1991,HAVI-01,-99,-99,0,3
9/12/1991,BEAL-02,-99,-99,0,3
9/12/1991,BELE-02,-99,-99,0,0
9/12/1991,VICA-03,-99,-99,8,0
9/12/1991,VIAL-02,-99,-99,0,0
9/12/1991,FAGR-03,-99,-99,0,0
9/12/1991,TSCA-02,-99,-99,0,0
9/12/1991,CADE-02,-99,-99,0,0
9/12/1991,KALA-02,-99,-99,0,5
9/12/1991,VACO-03,-99,-99,0,0
9/12/1991,KAAN-02,-99,-99,0,0
9/12/1991,NEMU-01,-99,-99,-99,70
9/12/1991,ILVE-04,-99,-99,0,0
9/12/1991,NEMU-02,-99,-99,-99,-99
9/12/1991,RHSP-02,-99,-99,-99,0
9/12/1991,AMSP-03,-99,-99,3,0
9/12/1991,NYSY-02,-99,-99,30,0
9/12/1991,BEPO-02,-99,-99,5,0
9/12/1991,BEAL-03,-99,-99,5,0
9/12/1991,NYSY-03,-99,-99,10,0
9/12/1991,HAVI-02,-99,-99,0,0
9/12/1991,QURU-02,-99,-99,0,0
9/12/1991,ARSP-01,-99,-99,0,0
9/12/1991,ACRU-03,-99,-99,10,0
9/12/1991,VIAL-03,-99,-99,10,0
9/12/1991,KAAN-03,-99,-99,0,0
9/12/1991,VACO-04,-99,-99,5,0
9/12/1991,ACPE-04,-99,-99,0,0
9/12/1991,CADE-03,-99,-99,0,0
9/12/1991,QUVE-02,-99,-99,0,0
