DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
8/28/2000,VACO-01,-99,-99,1,0
8/28/2000,PIST-01,-99,-99,0,0
8/28/2000,AMSP-01,-99,-99,0,0
8/28/2000,FRAM-01,-99,-99,0,0
8/28/2000,PRSE-01,-99,-99,0,0
8/28/2000,ILVE-01,-99,-99,0,0
8/28/2000,VICA-01,-99,-99,0,0
8/28/2000,ACRU-01,-99,-99,0,0
8/28/2000,SAPU-01,-99,-99,5,0
8/28/2000,COAL-01,-99,-99,0,0
8/28/2000,AMSP-02,-99,-99,5,0
8/28/2000,ACSA-01,-99,-99,0,0
8/28/2000,BELE-01,-99,-99,0,0
8/28/2000,SAPU-03,-99,-99,5,0
8/28/2000,SAPU-04,-99,-99,7,0
8/28/2000,BEAL-01,-99,-99,1,0
8/28/2000,QURU-01,-99,-99,0,0
8/28/2000,VICA-02,-99,-99,0,0
8/28/2000,ILVE-03,-99,-99,0,0
8/28/2000,QUAL-04,-99,-99,0,0
8/28/2000,FAGR-01,-99,-99,0,0
8/28/2000,VIAL-01,-99,-99,0,0
8/28/2000,ACPE-01,-99,-99,0,0
8/28/2000,TSCA-01,-99,-99,1,0
8/28/2000,QUVE-01,-99,-99,0,0
8/28/2000,VACO-02,-99,-99,10,0
8/28/2000,LYLI-02,-99,-99,0,0
8/28/2000,LYLI-01,-99,-99,0,0
8/28/2000,BEPO-01,-99,-99,0,0
8/28/2000,LYLI-03,-99,-99,0,0
8/28/2000,KAAN-01,-99,-99,0,0
8/28/2000,PIST-02,-99,-99,0,0
8/28/2000,BEPA-01,-99,-99,0,0
8/28/2000,CRSP-01,-99,-99,30,3
8/28/2000,ACRU-02,-99,-99,3,0
8/28/2000,RHSP-01,-99,-99,1,0
8/28/2000,ACPE-02,-99,-99,0,0
8/28/2000,CADE-01,-99,-99,3,0
8/28/2000,NYSY-04,-99,-99,0,0
8/28/2000,KALA-01,-99,-99,20,5
8/28/2000,FAGR-02,-99,-99,5,0
8/28/2000,ACPE-03,-99,-99,0,0
8/28/2000,HAVI-01,-99,-99,3,0
8/28/2000,BEAL-02,-99,-99,0,0
8/28/2000,BELE-02,-99,-99,0,0
8/28/2000,VICA-03,-99,-99,3,0
8/28/2000,VIAL-02,-99,-99,0,0
8/28/2000,FAGR-03,-99,-99,0,0
8/28/2000,TSCA-04,-99,-99,0,0
8/28/2000,CADE-04,-99,-99,0,0
8/28/2000,KALA-02,-99,-99,25,5
8/28/2000,VACO-03,-99,-99,1,0
8/28/2000,KAAN-02,-99,-99,0,0
8/28/2000,NEMU-01,-99,-99,1,0
8/28/2000,ILVE-04,-99,-99,0,0
8/28/2000,NEMU-02,-99,-99,1,0
8/28/2000,RHSP-02,-99,-99,15,0
8/28/2000,AMSP-03,-99,-99,1,0
8/28/2000,NYSY-02,-99,-99,0,0
8/28/2000,BEPO-02,-99,-99,1,0
8/28/2000,BEAL-03,-99,-99,0,0
8/28/2000,NYSY-03,-99,-99,0,0
8/28/2000,HAVI-02,-99,-99,0,0
8/28/2000,QURU-02,-99,-99,0,0
8/28/2000,ARSP-01,-99,-99,0,0
8/28/2000,ACRU-03,-99,-99,0,0
8/28/2000,VIAL-03,-99,-99,1,0
8/28/2000,KAAN-03,-99,-99,0,0
8/28/2000,VACO-04,-99,-99,0,0
8/28/2000,ACPE-04,-99,-99,2,0
8/28/2000,CADE-03,-99,-99,0,0
8/28/2000,QUVE-02,-99,-99,0,0
8/28/2000,BEPO-03,-99,-99,3,0
8/28/2000,PIST-03,-99,-99,0,0
8/28/2000,KALA-03,-99,-99,5,0
8/28/2000,BEPO-04,-99,-99,0,0
8/28/2000,ACRU-04,-99,-99,1,0
8/28/2000,QUAL-02,-99,-99,0,0
8/28/2000,RHSP-03,-99,-99,0,0
8/28/2000,NEMU-03,-99,-99,5,0
8/28/2000,ARSP-02,-99,-99,0,0
8/28/2000,CRSP-03,-99,-99,3,0
8/28/2000,BELE-03,-99,-99,0,0
8/28/2000,HAVI-03,-99,-99,0,0
8/28/2000,QUVE-03,-99,-99,0,0
8/28/2000,TSCA-05,-99,-99,0,0
8/28/2000,QUVE-04,-99,-99,0,0
8/28/2000,QURU-03,-99,-99,0,0
8/28/2000,CRSP-02,-99,-99,0,0
8/28/2000,PRSE-02,-99,-99,0,0
8/28/2000,BEPA-02,-99,-99,0,0
8/28/2000,BEPA-03,-99,-99,0,0
8/28/2000,BEPA-04,-99,-99,1,0
8/28/2000,COAL-03,-99,-99,0,0
8/28/2000,FRAM-02,-99,-99,0,0
8/28/2000,FAGR-04,-99,-99,0,0
8/28/2000,QUAL-03,-99,-99,0,0
8/28/2000,ILVE-02,-99,-99,0,0
8/28/2000,ACSA-02,-99,-99,0,0
8/28/2000,FRAM-03,-99,-99,0,0
8/28/2000,SAPU-02,-99,-99,0,0
8/28/2000,ARSP-04,-99,-99,2,0
8/28/2000,POTR-04,-99,-99,0,0
8/28/2000,ACSA-03,-99,-99,5,1
8/28/2000,PRSE-03,-99,-99,1,0
8/28/2000,QURU-04,-99,-99,0,0
8/28/2000,ACRU-05,-99,-99,1,0
8/28/2000,PIST-04,-99,-99,0,0
8/28/2000,FRAM-04,-99,-99,0,0
8/28/2000,POTR-02,-99,-99,0,0
9/5/2000,VACO-01,-99,-99,0,0
9/5/2000,PIST-01,-99,-99,0,0
9/5/2000,AMSP-01,-99,-99,0,0
9/5/2000,FRAM-01,-99,-99,0,0
9/5/2000,PRSE-01,-99,-99,1,0
9/5/2000,ILVE-01,-99,-99,0,0
9/5/2000,VICA-01,-99,-99,0,0
9/5/2000,ACRU-01,-99,-99,2,0
9/5/2000,SAPU-01,-99,-99,8,0
9/5/2000,COAL-01,-99,-99,0,0
9/5/2000,AMSP-02,-99,-99,5,0
9/5/2000,ACSA-01,-99,-99,0,0
9/5/2000,BELE-01,-99,-99,0,0
9/5/2000,SAPU-03,-99,-99,10,1
9/5/2000,SAPU-04,-99,-99,5,0
9/5/2000,BEAL-01,-99,-99,3,1
9/5/2000,QURU-01,-99,-99,1,0
9/5/2000,VICA-02,-99,-99,0,0
