YEAR,TREEID,BBJD,BBJD_FLAG,L75JD,L75JD_FLAG,L95JD,L95JD_FLAG
1991,HAVI-03,119,,137,,161,
1991,ILVE-01,121,,147,,182,y
1991,ILVE-02,119,,151,,154,
1991,ILVE-03,119,,137,,155,
1991,ILVE-04,119,,151,,161,
1991,KAAN-01,135,,151,,171,
1991,KAAN-02,142,,165,,184,
1991,KAAN-03,139,,155,,155,y
1991,KALA-01,135,,165,,188,y
1991,KALA-02,144,,168,,179,
1991,KALA-03,135,,155,,190,
1991,LYLI-01,129,,151,,154,
1991,LYLI-02,76,,142,,153,
1991,LYLI-03,129,,150,,154,
1991,NEMU-01,115,,149,,151,
1991,NEMU-02,116,,151,,161,y
1991,NEMU-03,119,,137,,151,
1991,NYSY-01,129,,150,,158,
1991,NYSY-02,129,,149,,162,
1991,NYSY-03,76,,142,,162,
1991,PIST-01,153,,179,,292,
1991,PIST-02,158,y,185,,203,
1991,PIST-03,153,,185,,192,
1991,PIST-04,150,,185,,260,
1991,POTR-01,104,,130,,150,
1991,POTR-02,111,,132,,150,
1991,POTR-03,110,,130,,150
1991,PRSE-01,97,,136,,150
1991,PRSE-02,97,,127,,161
1991,PRSE-03,97,,140,,149
1991,QUAL-01,119,,148,,154
1991,QUAL-02,135,,151,,164
1991,QUAL-03,130,,149,,155
1991,QURU-01,125,,143,,155
1991,QURU-02,130,,148,,160
1991,QURU-03,127,,140,,155
1991,QURU-04,124,,140,,155
1991,QUVE-01,123,y,142,,155
1991,QUVE-02,139,,151,,162
1991,QUVE-03,126,,143,,155
1991,QUVE-04,130,,143,,159
1991,RHSP-01,127,,151,,160
1991,RHSP-02,129,,150,,176,y
1991,RHSP-03,135,,151,,178,y
1991,SAPU-01,97,,140,,155,
1991,SAPU-02,93,,136,,151,
1991,SAPU-03,76,,142,,162,
1991,TSCA-01,150,,165,,203,
1991,TSCA-02,142,,161,,182,y
1991,TSCA-03,139,,161,,161,
1991,VACO-01,102,,140,,151,
1991,VACO-02,105,y,140,,153,
1991,VACO-03,104,,133,,151,
1991,VACO-04,109,,133,,151,
1991,VIAL-01,112,,137,,154,
1991,VIAL-02,114,,137,,151,
1991,VIAL-03,112,,149,,151,
1991,VICA-01,97,,133,,154,
1991,VICA-02,97,,146,,155
1991,VICA-03,97,,148,,158
1992,ACPE-01,134,,165,,197
1992,ACPE-02,138,,196,,198
1992,ACPE-03,134,,166,,189
1992,ACPE-04,138,,168,,197
1992,ACRU-01,138,,175,,186
1992,ACRU-02,131,,174,,187
1992,ACRU-03,138,,175,,186
1992,ACRU-04,134,,174,,196
1992,ACRU-05,131,,168,,175
1992,ACSA-01,124,,167,,185
1992,ACSA-02,131,,167,,174
1992,ACSA-03,134,,168,,187
1992,AMSP-01,124,,173,,188
1992,AMSP-02,122,,174,,198
1992,AMSP-03,138,,174,,188
1992,ARSP-01,134,,167,,188
1992,ARSP-02,120,,186,,188
1992,ARSP-03,113,,186,,188
1992,BEAL-01,132,,157,,188
1992,BEAL-02,140,,161,,175
1992,BEAL-03,136,,174,,194
1992,BELE-01,134,,153,,235
1992,BELE-02,138,,153,,187
1992,BELE-03,138,,157,,175
1992,BEPA-01,134,,187,,187
1992,BEPA-02,131,,150,,175
1992,BEPA-03,131,,168,,175
1992,BEPA-04,131,,168,,175
1992,BEPO-01,134,,150,,175
1992,BEPO-02,138,,188,,194
1992,BEPO-03,138,,167,,189
1992,BEPO-04,137,,157,,186
1992,CADE-01,134,,175,,197
1992,CADE-02,134,,174,,235
1992,CADE-03,138,,174,,188
1992,COAL-01,113,,157,,197
1992,COAL-02,120,,162,,197
1992,COAL-03,127,,174,,189
1992,CRSP-01,125,,174,,185
1992,CRSP-02,131,,187,,189
1992,CRSP-03,134,,174,,175
1992,FAGR-01,138,,156,,188
1992,FAGR-02,131,,150,,187
1992,FAGR-03,134,,154,,175
1992,FAGR-04,133,,157,,187
1992,FRAM-01,138,,162,,175
1992,FRAM-02,138,,175,,187
1992,FRAM-03,134,,175,,189
1992,FRAM-04,134,,175,,187
1992,FRAM-05,138,,188,,189
1992,HAVI-01,134,,167,,186
1992,HAVI-02,134,,161,,197
1992,HAVI-03,131,,167,,187
1992,ILVE-01,138,,173,,198
1992,ILVE-02,134,,157,,188
1992,ILVE-03,138,,197,,198
1992,ILVE-04,141,,186,,235
1992,KAAN-01,141,,197,,235
1992,KAAN-02,149,,187,,197
1992,KAAN-03,149,,188,,235
1992,KALA-01,163,y,197,,198
1992,KALA-02,154,,188,,189
1992,KALA-03,145,,197,,235,
1992,LYLI-01,138,,194,,341,
1992,LYLI-02,138,,192,,197,
1992,LYLI-03,140,,197,,235,
1992,NEMU-01,134,,188,,189,
1992,NEMU-02,134,,161,,196,
1992,NEMU-03,127,,167,,187,
1992,NYSY-01,141,,187,,341,
1992,NYSY-02,141,,187,,198,
1992,NYSY-03,141,,168,,196,
1992,PIST-01,165,,NA,y,NA,y
1992,PIST-02,165,,NA,y,NA,y
1992,PIST-03,160,,NA,y,NA,y
1992,PIST-04,165,y,NA,y,NA,y
1992,POTR-02,127,,140,,189,
1992,POTR-03,127,,164,,174,
1992,PRSE-01,113,,150,,188,
1992,PRSE-02,120,,174,,175,
1992,PRSE-03,113,,154,,187,
1992,QUAL-01,138,,157,,175,
1992,QUAL-02,141,,174,,192,
1992,QUAL-03,141,,161,,187,
1992,QURU-01,138,,168,,185,
1992,QURU-02,138,,161,,186,
1992,QURU-03,134,,175,,189,
1992,QURU-04,134,,154,,175,
1992,QUVE-01,138,,166,,197,
1992,QUVE-02,145,,NA,y,NA,y
1992,QUVE-03,140,,188,,188,
1992,QUVE-04,140,,161,,187,
1992,RHSP-01,138,,154,,188,
1992,RHSP-02,141,,197,,198,
1992,RHSP-03,149,,188,,189
1992,SAPU-01,113,,194,,197
1992,SAPU-02,108,,169,,188
1992,SAPU-03,108,,197,,198
