08:22:27   30.07.2012               Program Climap                   MeteoSwiss
Times in UTC 0040 (UTC)  =  01:40  Winter time  =  02:40  Summer time
Time period: 01.01.1960 00:00  -  31.12.2011 23:50 UTC 32767 -> missing value
number of stations  177
  1595	Chaumont                1150 m a.s.l.	565000/ 211000
  1299	Enges                    820 m a.s.l.	668000/ 212000
  1305	Biel                     490 m a.s.l.	585620/ 220130
  1565	Mont-Soleil             1200 m a.s.l.	566200/ 223500
  1309	Orvin                    700 m a.s.l.	583000/ 223000
  1392	Escholzmatt              910 m a.s.l.	637620/ 194290
  1560	Jegenstorf II            525 m a.s.l.	605200/ 210900
  1534	Seewil                   560 m a.s.l.	597800/ 210800
  1332	Jegenstorf               520 m a.s.l.	605001/ 215050
   353	Oeschberg                485 m a.s.l.	613250/ 219525
  1456	Herzogenbuchsee          450 m a.s.l.	620000/ 226000
  1339	Wynau                    450 m a.s.l.	628000/ 234000
  1341	Wyssachen                850 m a.s.l.	629000/ 215000
   461	Grossdietwil             610 m a.s.l.	634000/ 224000
  1348	Zofingen                 440 m a.s.l.	638000/ 238000
  1706	Olten                    400 m a.s.l.	635000/ 244000
  1354	Schönenwerd              450 m a.s.l.	642330/ 246200
   682	Wiliberg                 650 m a.s.l.	644540/ 236690
  1536	Hochdorf                 490 m a.s.l.	664500/ 224300
   123	Seon                     550 m a.s.l.	655000/ 244000
   126	Muri, AG                 550 m a.s.l.	667630/ 235320
  1369	Villnachern              415 m a.s.l.	654000/ 258000
  1373	Döttingen                350 m a.s.l.	661050/ 269000
  1393	Oberehrendingen          490 m a.s.l.	667350/ 259400
   699	Fiesch                  1100 m a.s.l.	653000/ 139000
  1517	Visp                     650 m a.s.l.	635000/ 127000
  1533	Leuk                     800 m a.s.l.	615100/ 129650
   362	St. Luc                 1650 m a.s.l.	612000/ 119000
   795	Leytron                  480 m a.s.l.	583000/ 115000
   802	Liddes                  1350 m a.s.l.	580000/  93000
   806	Trient                  1300 m a.s.l.	565980/  99790
   265	Gryon                   1100 m a.s.l.	571250/ 124890
  1394	Les Plans-sur-Bex       1100 m a.s.l.	572530/ 121990
  1395	Morgins VS              1380 m a.s.l.	554540/ 122100
  1397	Les Diablerets          1200 m a.s.l.	577710/ 133080
  1398	Le Sépey                1265 m a.s.l.	571310/ 134960
   823	Leysin                  1250 m a.s.l.	568000/ 132000
   287	Blonay                   600 m a.s.l.	559000/ 146000
   829	Chardonne                655 m a.s.l.	553000/ 147000
   504	Longirod                 900 m a.s.l.	509980/ 150390
  1460	Changins                 435 m a.s.l.	507000/ 139000
   614	Versoix                  440 m a.s.l.	502000/ 126000
   505	Genève                   390 m a.s.l.	500250/ 117400
   841	Cartigny                 400 m a.s.l.	490000/ 115000
   846	Le Locle                1020 m a.s.l.	548000/ 211000
   530	Comprovasco / Motto      500 m a.s.l.	716000/ 145000
   870	San Bernardino          1625 m a.s.l.	734490/ 147180
  1401	Vira / Gambarogno        210 m a.s.l.	708950/ 111790
   882	Prato-Sornico            750 m a.s.l.	692000/ 139000
   883	Menzonio                 725 m a.s.l.	692000/ 135000
   884	Cevio-Cavergno           430 m a.s.l.	689370/ 130000
   894	Aurigeno                 350 m a.s.l.	698000/ 121000
   895	Vergeletto              1100 m a.s.l.	690000/ 120000
  2013	Cavigliano               340 m a.s.l.	698903/ 115604
  1480	Locarno-Monti            370 m a.s.l.	704160/ 114350
   901	Locarno                  200 m a.s.l.	705000/ 114000
  1519	Arogno                   660 m a.s.l.	720000/  91000
   750	Rancate                  353 m a.s.l.	718700/  81000
  1402	Sagno TI                 670 m a.s.l.	725000/  79000
   427	Simplon-Dorf            1475 m a.s.l.	647720/ 116140
  1403	Brusio-Piazzo            800 m a.s.l.	806330/ 127300
   931	Casaccia                1460 m a.s.l.	771000/ 140000
   934	Stampa                  1000 m a.s.l.	766000/ 135000
   935	Bondo GR                 825 m a.s.l.	763000/ 134000
   946	St. Moritz              1800 m a.s.l.	784300/ 152420
   960	Pontresina              1780 m a.s.l.	789000/ 152000
   962	Zuoz                    1750 m a.s.l.	793000/ 164000
   206	Scuol                   1240 m a.s.l.	818000/ 187000
   205	Sent                    1440 m a.s.l.	821000/ 189000
   976	Martina                 1050 m a.s.l.	830580/ 197100
  1624	Sta. Maria (Val Mustair)1390 m a.s.l.	828000/ 165000
number of parameters  1
   617  Hazel - leaf unfolding  [Datum2]

  STA JAHR MO TG HH MM         617
 1405 1960  1  1  0  0  08.05.1960 
 1405 1961  1  1  0  0  15.04.1961 
 1405 1962  1  1  0  0  29.05.1962 
 1405 1963  1  1  0  0  24.05.1963 
 1405 1964  1  1  0  0       32767 
 1405 1965  1  1  0  0  11.05.1965 
 1405 1966  1  1  0  0  25.04.1966 
 1405 1967  1  1  0  0  22.05.1967 
 1405 1968  1  1  0  0  24.04.1968 
 1405 1969  1  1  0  0  12.05.1969 
 1405 1970  1  1  0  0  24.05.1970 
 1405 1971  1  1  0  0  21.04.1971 
 1405 1972  1  1  0  0  14.04.1972 
 1405 1973  1  1  0  0  01.05.1973 
 1405 1974  1  1  0  0  22.04.1974 
 1405 1975  1  1  0  0  25.04.1975 
 1405 1976  1  1  0  0  17.04.1976 
 1405 1977  1  1  0  0       32767 
 1405 1978  1  1  0  0  06.05.1978 
 1405 1979  1  1  0  0  15.05.1979 
 1405 1980  1  1  0  0  03.05.1980 
 1405 1981  1  1  0  0       32767 
 1405 1982  1  1  0  0  11.05.1982 
 1405 1983  1  1  0  0  09.05.1983 
 1405 1984  1  1  0  0  17.05.1984 
 1405 1985  1  1  0  0  15.04.1985 
 1405 1986  1  1  0  0  10.05.1986 
 1405 1987  1  1  0  0       32767 
 1405 1988  1  1  0  0  27.04.1988 
 1405 1989  1  1  0  0  23.04.1989 
 1405 1990  1  1  0  0  03.04.1990 
 1405 1991  1  1  0  0  09.05.1991 
 1405 1992  1  1  0  0  24.04.1992 
 1405 1993  1  1  0  0  03.04.1993 
 1405 1994  1  1  0  0  28.03.1994 
 1405 1995  1  1  0  0  15.03.1995 
 1405 1996  1  1  0  0  01.04.1996 
 1405 1997  1  1  0  0  20.05.1997 
 1405 1998  1  1  0  0       32767 
 1405 1999  1  1  0  0       32767 
 1405 2000  1  1  0  0       32767 
 1405 2001  1  1  0  0  10.05.2001 
 1405 2002  1  1  0  0  13.05.2002 
 1405 2003  1  1  0  0  28.04.2003 
 1405 2004  1  1  0  0  04.05.2004 
 1405 2005  1  1  0  0  02.05.2005 
 1405 2006  1  1  0  0  10.05.2006 
 1405 2007  1  1  0  0  15.04.2007 
 1405 2008  1  1  0  0  07.05.2008 
 1405 2009  1  1  0  0  01.05.2009 
 1405 2010  1  1  0  0  01.05.2010 
 1405 2011  1  1  0  0  16.04.2011 
  511 1960  1  1  0  0       32767 
  511 1961  1  1  0  0       32767 
  511 1962  1  1  0  0       32767 
  511 1963  1  1  0  0  17.05.1963 
  511 1964  1  1  0  0       32767 
  511 1965  1  1  0  0       32767 
  511 1966  1  1  0  0       32767 
  511 1967  1  1  0  0  21.04.1967 
  511 1968  1  1  0  0  24.05.1968 
  511 1969  1  1  0  0       32767 
  511 1970  1  1  0  0       32767 
  511 1971  1  1  0  0       32767 
  511 1972  1  1  0  0       32767 
  511 1973  1  1  0  0       32767 
  511 1974  1  1  0  0       32767 
  511 1975  1  1  0  0  14.05.1975 
  511 1976  1  1  0  0  10.06.1976 
  511 1977  1  1  0  0  15.06.1977 
  511 1978  1  1  0  0  01.06.1978 
  511 1979  1  1  0  0  30.05.1979 
  511 1980  1  1  0  0       32767 
  511 1981  1  1  0  0       32767 
  511 1982  1  1  0  0       32767 
  511 1983  1  1  0  0  20.05.1983 
  511 1984  1  1  0  0       32767 
  511 1985  1  1  0  0       32767 
  511 1986  1  1  0  0  15.05.1986 
  511 1987  1  1  0  0  26.05.1987 
  511 1988  1  1  0  0  15.05.1988 
  511 1989  1  1  0  0  18.05.1989 
  511 1990  1  1  0  0       32767 
  511 1991  1  1  0  0  30.05.1991 
  511 1992  1  1  0  0       32767 
  511 1993  1  1  0  0  07.05.1993 
  511 1994  1  1  0  0  04.05.1994 
  511 1995  1  1  0  0  10.05.1995 
  511 1996  1  1  0  0  21.05.1996 
  511 1997  1  1  0  0  17.05.1997 
  511 1998  1  1  0  0  18.05.1998 
  511 1999  1  1  0  0  17.05.1999 
  511 2000  1  1  0  0  08.05.2000 
  511 2001  1  1  0  0  13.05.2001 
  511 2002  1  1  0  0  17.05.2002 
  511 2003  1  1  0  0  09.05.2003 
  511 2004  1  1  0  0  19.05.2004 
  511 2005  1  1  0  0  15.05.2005 
  511 2006  1  1  0  0  15.05.2006 
  511 2007  1  1  0  0  26.04.2007 
  511 2008  1  1  0  0  14.05.2008 
  511 2009  1  1  0  0  12.05.2009 
  511 2010  1  1  0  0  06.05.2010 
  511 2011  1  1  0  0  28.04.2011 
  630 1960  1  1  0  0       32767 
  630 1961  1  1  0  0       32767 
  630 1962  1  1  0  0       32767 
  630 1963  1  1  0  0       32767 
  630 1964  1  1  0  0       32767 
  630 1965  1  1  0  0       32767 
  630 1966  1  1  0  0       32767 
  630 1967  1  1  0  0       32767 
  630 1968  1  1  0  0       32767 
  630 1969  1  1  0  0       32767 
  630 1970  1  1  0  0  01.06.1970 
  630 1971  1  1  0  0  09.05.1971 
  630 1972  1  1  0  0  08.05.1972 
  630 1973  1  1  0  0  15.05.1973 
  630 1974  1  1  0  0  12.05.1974 
  630 1975  1  1  0  0  07.05.1975 
  630 1976  1  1  0  0  07.05.1976 
  630 1977  1  1  0  0  03.05.1977 
  630 1978  1  1  0  0  10.05.1978 
  630 1979  1  1  0  0  15.05.1979 
  630 1980  1  1  0  0  08.05.1980 
  630 1981  1  1  0  0  25.04.1981 
  630 1982  1  1  0  0  14.05.1982 
  630 1983  1  1  0  0  03.05.1983 
  630 1984  1  1  0  0  13.05.1984 
  630 1985  1  1  0  0  06.05.1985 
  630 1986  1  1  0  0  08.05.1986 
  630 1987  1  1  0  0  09.05.1987 
  630 1988  1  1  0  0  25.04.1988 
  630 1989  1  1  0  0  14.04.1989 
  630 1990  1  1  0  0  02.05.1990 
  630 1991  1  1  0  0  02.05.1991 
  630 1992  1  1  0  0  12.05.1992 
  630 1993  1  1  0  0  09.05.1993 
  630 1994  1  1  0  0  02.05.1994 
  630 1995  1  1  0  0  09.05.1995 
  630 1996  1  1  0  0  30.04.1996 
  630 1997  1  1  0  0  26.04.1997 
  630 1998  1  1  0  0  10.05.1998 
  630 1999  1  1  0  0  03.05.1999 
  630 2000  1  1  0  0  27.04.2000 
  630 2001  1  1  0  0  29.04.2001 
  630 2002  1  1  0  0  06.05.2002 
  630 2003  1  1  0  0  28.04.2003 
  630 2004  1  1  0  0  27.04.2004 
  630 2005  1  1  0  0  26.04.2005 
  630 2006  1  1  0  0  30.04.2006 
  630 2007  1  1  0  0  24.04.2007 
  630 2008  1  1  0  0  06.05.2008 
  630 2009  1  1  0  0  26.04.2009 
  630 2010  1  1  0  0  25.04.2010 
  630 2011  1  1  0  0  07.04.2011 
  980 1960  1  1  0  0  02.04.1960 
  980 1961  1  1  0  0  28.03.1961 
  980 1962  1  1  0  0  25.04.1962 
  980 1963  1  1  0  0  24.04.1963 
  980 1964  1  1  0  0  25.04.1964 
  980 1965  1  1  0  0  26.04.1965 
  980 1966  1  1  0  0  14.04.1966 
  980 1967  1  1  0  0  06.04.1967 
  980 1968  1  1  0  0  11.04.1968 
  980 1969  1  1  0  0  14.04.1969 
  980 1970  1  1  0  0  08.05.1970 
  980 1971  1  1  0  0  16.04.1971 
  980 1972  1  1  0  0  02.04.1972 
  980 1973  1  1  0  0  10.04.1973 
  980 1974  1  1  0  0       32767 
